ID,FTR
1,H
2,A
3,H
4,H
5,A
6,H
7,H
8,H
9,H
10,A
11,A
12,H
13,H
14,H
15,A
16,H
17,H
18,H
19,A
20,H
21,H
22,H
23,H
24,A
25,H
26,H
27,H
28,H
29,A
30,H
31,H
32,D
33,H
34,D
35,A
36,H
37,A
38,H
39,H
40,H
41,A
42,A
43,A
44,H
45,H
46,H
47,H
48,H
49,A
50,H
51,H
52,H
53,H
54,A
55,D
56,A
57,H
58,A
59,H
60,H
61,A
62,H
63,H
64,H
65,H
66,H
67,A
68,H
69,A
70,D
71,H
72,A
73,H
74,A
75,A
76,H
77,H
78,H
79,A
80,D
81,H
82,H
83,H
84,A
85,H
86,H
87,H
88,H
89,D
90,A
91,H
92,A
93,H
94,H
95,H
96,H
97,A
98,H
99,A
100,H
101,H
102,H
103,A
104,H
105,H
106,A
107,A
108,H
109,H
110,H
111,H
112,H
113,D
114,A
115,H
116,H
117,H
118,A
119,H
120,H
121,A
122,H
123,A
124,H
125,H
126,H
127,H
128,H
129,H
130,A
131,H
132,H
133,H
134,A
135,A
136,D
137,A
138,H
139,H
140,A
141,D
142,D
143,A
144,H
145,A
146,H
147,A
148,A
149,D
150,H
151,H
152,H
153,A
154,A
155,H
156,H
157,H
158,H
159,H
160,D
161,A
162,A
163,H
164,H
165,H
166,H
167,H
168,H
169,A
170,H
171,A
172,A
173,H
174,H
175,H
176,H
177,A
178,H
179,A
180,H
181,H
182,H
183,D
184,D
185,A
186,H
187,H
188,A
189,A
190,H
191,H
192,H
193,A
194,H
195,A
196,H
197,A
198,H
199,A
200,A
201,A
202,A
203,H
204,H
205,H
206,H
207,H
208,A
209,H
210,H
211,A
212,H
213,H
214,H
215,A
216,A
217,H
218,H
219,A
220,H
221,A
222,H
223,H
224,H
225,D
226,H
227,A
228,A
229,A
230,A
231,A
232,H
233,A
234,D
235,A
236,H
237,H
238,H
239,A
240,D
241,H
242,H
243,H
244,H
245,H
246,H
247,H
248,H
249,H
250,H
251,D
252,H
253,A
254,A
255,H
256,H
257,H
258,A
259,H
260,A
261,H
262,A
263,H
264,H
265,H
266,H
267,A
268,H
269,H
270,H
271,A
272,H
273,A
274,D
275,H
276,D
277,A
278,A
279,H
280,D
281,H
282,A
283,H
284,H
285,H
286,H
287,H
288,H
289,H
290,H
291,H
292,A
293,A
294,H
295,H
296,D
297,H
298,H
299,A
300,D
301,H
302,H
303,A
304,H
305,H
306,H
307,H
308,H
309,H
310,H
311,H
312,A
313,H
314,H
315,A
316,D
317,H
318,H
319,D
320,A
321,A
322,H
323,H
324,A
325,H
326,D
327,H
328,D
329,A
330,H
331,A
332,H
333,H
334,H
335,A
336,A
337,H
338,H
339,H
340,H
341,H
342,D
343,A
344,H
345,H
346,H
347,H
348,H
349,A
350,H
351,A
352,H
353,A
354,D
355,H
356,H
357,H
358,H
359,H
360,A
361,H
362,H
363,H
364,H
365,H
366,D
367,H
368,A
369,H
370,A
371,H
372,H
373,A
374,H
375,H
376,A
377,D
378,A
379,H
380,H
381,A
382,H
383,H
384,H
385,H
386,H
387,H
388,H
389,H
390,A
391,H
392,A
393,A
394,H
395,H
396,H
397,H
398,H
399,A
400,A
401,H
402,A
403,H
404,H
405,H
406,D
407,H
408,H
409,H
410,A
411,A
412,H
413,A
414,A
415,H
416,H
417,H
418,H
419,A
420,H
421,A
422,H
423,A
424,D
425,H
426,H
427,H
428,D
429,H
430,H
431,A
432,H
433,H
434,A
435,A
436,H
437,H
438,H
439,H
440,A
441,H
442,A
443,H
444,H
445,H
446,D
447,H
448,H
449,D
450,H
451,A
452,A
453,H
454,A
455,A
456,H
457,H
458,H
459,H
460,A
461,H
462,H
463,H
464,H
465,A
466,H
467,H
468,H
469,H
470,H
471,A
472,H
473,D
474,D
475,H
476,A
477,A
478,H
479,H
480,H
481,A
482,A
483,H
484,H
485,A
486,A
487,H
488,H
489,D
490,A
491,H
492,H
493,H
494,H
495,A
496,H
497,H
498,A
499,A
500,H
501,H
502,H
503,H
504,H
505,H
506,A
507,H
508,A
509,A
510,A
511,H
512,H
513,D
514,H
515,H
516,A
517,H
518,H
519,D
520,H
521,A
522,A
523,A
524,A
525,H
526,H
527,H
528,A
529,H
530,H
531,H
532,H
533,A
534,H
535,H
536,H
537,H
538,H
539,A
540,H
541,H
542,A
543,H
544,H
545,H
546,H
547,H
548,A
549,A
550,A
551,A
552,H
553,H
554,H
555,H
556,H
557,H
558,H
559,A
560,A
561,A
562,H
563,A
564,H
565,D
566,H
567,H
568,D
569,H
570,H
571,H
572,H
573,A
574,A
575,A
576,H
577,H
578,A
579,A
580,H
581,H
582,A
583,A
584,H
585,H
586,A
587,H
588,D
589,H
590,H
591,H
592,A
593,D
594,H
595,A
596,H
597,A
598,A
599,A
600,H
601,H
602,A
603,H
604,H
605,H
606,H
607,H
608,H
609,A
610,H
