,ID,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,points_ht,points_at,ttl_hm_pts_hm_tm_bfr_mch,ttl_hm_pts_aw_tm_bfr_mch,ttl_aw_pts_hm_tm_bfr_mch,ttl_aw_pts_aw_tm_bfr_mch,ht_hm_vs_Sampdoria,ht_hm_vs_Verona,ht_hm_vs_Cagliari,ht_hm_vs_Inter,ht_hm_vs_Lazio,ht_hm_vs_Livorno,ht_hm_vs_Napoli,ht_hm_vs_Parma,ht_hm_vs_Torino,ht_hm_vs_Fiorentina,ht_hm_vs_Chievo,ht_hm_vs_Juventus,ht_hm_vs_Atalanta,ht_hm_vs_Bologna,ht_hm_vs_Catania,ht_hm_vs_Genoa,ht_hm_vs_Milan,ht_hm_vs_Roma,ht_hm_vs_Sassuolo,ht_hm_vs_Udinese,ht_hm_vs_Palermo,ht_hm_vs_Lecce,ht_hm_vs_Reggina,ht_hm_vs_Siena,ht_hm_vs_Bari,ht_hm_vs_Cesena,ht_hm_vs_Brescia,ht_aw_vs_Sampdoria,ht_aw_vs_Verona,ht_aw_vs_Cagliari,ht_aw_vs_Inter,ht_aw_vs_Lazio,ht_aw_vs_Livorno,ht_aw_vs_Napoli,ht_aw_vs_Parma,ht_aw_vs_Torino,ht_aw_vs_Fiorentina,ht_aw_vs_Chievo,ht_aw_vs_Juventus,ht_aw_vs_Atalanta,ht_aw_vs_Bologna,ht_aw_vs_Catania,ht_aw_vs_Genoa,ht_aw_vs_Milan,ht_aw_vs_Roma,ht_aw_vs_Sassuolo,ht_aw_vs_Udinese,ht_aw_vs_Palermo,ht_aw_vs_Lecce,ht_aw_vs_Reggina,ht_aw_vs_Siena,ht_aw_vs_Bari,ht_aw_vs_Cesena,ht_aw_vs_Brescia,at_hm_vs_Sampdoria,at_hm_vs_Verona,at_hm_vs_Cagliari,at_hm_vs_Inter,at_hm_vs_Lazio,at_hm_vs_Livorno,at_hm_vs_Napoli,at_hm_vs_Parma,at_hm_vs_Torino,at_hm_vs_Fiorentina,at_hm_vs_Chievo,at_hm_vs_Juventus,at_hm_vs_Atalanta,at_hm_vs_Bologna,at_hm_vs_Catania,at_hm_vs_Genoa,at_hm_vs_Milan,at_hm_vs_Roma,at_hm_vs_Sassuolo,at_hm_vs_Udinese,at_hm_vs_Palermo,at_hm_vs_Lecce,at_hm_vs_Reggina,at_hm_vs_Siena,at_hm_vs_Bari,at_hm_vs_Cesena,at_hm_vs_Brescia,at_aw_vs_Sampdoria,at_aw_vs_Verona,at_aw_vs_Cagliari,at_aw_vs_Inter,at_aw_vs_Lazio,at_aw_vs_Livorno,at_aw_vs_Napoli,at_aw_vs_Parma,at_aw_vs_Torino,at_aw_vs_Fiorentina,at_aw_vs_Chievo,at_aw_vs_Juventus,at_aw_vs_Atalanta,at_aw_vs_Bologna,at_aw_vs_Catania,at_aw_vs_Genoa,at_aw_vs_Milan,at_aw_vs_Roma,at_aw_vs_Sassuolo,at_aw_vs_Udinese,at_aw_vs_Palermo,at_aw_vs_Lecce,at_aw_vs_Reggina,at_aw_vs_Siena,at_aw_vs_Bari,at_aw_vs_Cesena,at_aw_vs_Brescia
0,611,2013-08-24,Sampdoria,Juventus,A,8.0,4.0,1.45,7.25,4.0,1.48,5.5,4.0,1.55,6.0,4.0,1.53,7.0,4.0,1.5,7.5,4.0,1.55,0,3,98.0,100.0,51.0,87.0,0.0,0.0,2.0,4.0,9.0,3.0,4.0,1.0,3.0,6.0,5.0,5.0,6.0,9.0,5.0,3.0,7.0,5.0,0.0,5.0,1.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,4.0,2.0,6.0,3.0,4.0,3.0,3.0,0.0,5.0,0.0,6.0,7.0,7.0,3.0,4.0,0.0,3.0,5.0,5.0,0.0,4.0,4.0,2.0,9.0,3.0,4.0,0.0,6.0,0.0,4.0,3.0,4.0,6.0,3.0,3.0,2.0,0.0,6.0,1.0,7.0,1.0,0.0,3.0,3.0,5.0,4.0,0.0,6.0,7.0,7.0,4.0,4.0,9.0,0.0,3.0,3.0,3.0,1.0,6.0,0.0,1.0,1.0
1,612,2013-08-24,Verona,Milan,H,4.75,3.6,1.75,4.75,3.75,1.7,4.7,3.6,1.7,4.8,3.6,1.75,4.75,3.6,1.75,4.8,3.6,1.8,3,0,0.0,129.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,6.0,5.0,1.0,7.0,6.0,3.0,9.0,9.0,4.0,6.0,6.0,5.0,7.0,0.0,3.0,0.0,7.0,6.0,6.0,1.0,6.0,2.0,3.0,3.0,1.0,0.0,7.0,3.0,7.0,1.0,5.0,3.0,1.0,9.0,9.0,6.0,4.0,7.0,9.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,6.0,6.0,0.0,3.0
2,613,2013-08-25,Cagliari,Atalanta,H,2.5,3.0,3.0,2.45,3.1,3.0,2.3,3.2,3.0,2.37,3.2,3.0,2.5,3.0,3.0,2.55,3.2,3.1,3,0,92.0,59.0,50.0,23.0,7.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,6.0,3.0,3.0,7.0,7.0,3.0,1.0,5.0,0.0,4.0,7.0,6.0,1.0,3.0,6.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,1.0,2.0,6.0,3.0,0.0,2.0,3.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,3.0,0.0,6.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
3,614,2013-08-25,Inter,Genoa,H,1.62,3.75,5.5,1.6,3.75,5.75,1.65,3.7,4.9,1.61,3.75,5.5,1.7,3.75,4.8,1.67,3.9,5.75,3,0,144.0,112.0,98.0,58.0,5.0,0.0,7.0,0.0,9.0,3.0,9.0,6.0,1.0,9.0,9.0,7.0,6.0,9.0,9.0,5.0,6.0,5.0,0.0,9.0,7.0,6.0,3.0,6.0,4.0,3.0,1.0,4.0,0.0,6.0,0.0,6.0,3.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0,7.0,6.0,9.0,3.0,3.0,0.0,6.0,7.0,4.0,3.0,6.0,4.0,3.0,1.0,9.0,0.0,6.0,0.0,1.0,1.0,6.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,7.0,0.0,7.0,9.0,0.0,6.0,7.0,6.0,3.0,6.0,4.0,3.0,3.0,6.0,0.0,6.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0
4,615,2013-08-25,Lazio,Udinese,H,2.0,3.4,3.75,1.95,3.4,3.9,1.9,3.45,3.8,1.85,3.5,4.2,2.0,3.4,3.75,2.0,3.4,4.1,3,0,91.0,110.0,71.0,58.0,7.0,0.0,3.0,3.0,0.0,3.0,4.0,3.0,1.0,7.0,2.0,1.0,3.0,7.0,4.0,7.0,1.0,3.0,0.0,6.0,7.0,1.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,4.0,4.0,3.0,4.0,9.0,1.0,0.0,3.0,4.0,7.0,2.0,0.0,0.0,2.0,3.0,6.0,3.0,1.0,3.0,0.0,3.0,4.0,0.0,7.0,3.0,5.0,3.0,7.0,1.0,3.0,6.0,4.0,6.0,3.0,5.0,7.0,4.0,7.0,6.0,0.0,0.0,9.0,6.0,0.0,6.0,4.0,3.0,1.0,2.0,0.0,4.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,7.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0
5,616,2013-08-25,Livorno,Roma,A,3.6,3.5,2.0,3.7,3.4,2.0,3.6,3.3,2.0,3.75,3.4,2.0,3.4,3.6,2.05,3.75,3.6,2.05,0,3,20.0,127.0,9.0,79.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,9.0,6.0,9.0,0.0,4.0,4.0,3.0,9.0,7.0,0.0,6.0,7.0,9.0,9.0,3.0,0.0,0.0,7.0,6.0,6.0,3.0,6.0,6.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,1.0,4.0,4.0,3.0,4.0,7.0,4.0,3.0,7.0,1.0,0.0,6.0,0.0,0.0,3.0,1.0,6.0,1.0,3.0,6.0,3.0,0.0
6,617,2013-08-25,Napoli,Bologna,H,1.36,4.75,8.5,1.33,5.0,9.0,1.4,4.4,7.3,1.4,4.5,7.5,1.4,4.5,8.0,1.4,4.8,9.0,3,0,110.0,75.0,65.0,49.0,9.0,0.0,5.0,5.0,4.0,3.0,0.0,3.0,0.0,4.0,6.0,9.0,4.0,7.0,9.0,4.0,2.0,4.0,0.0,2.0,7.0,6.0,3.0,6.0,4.0,3.0,1.0,4.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,4.0,3.0,4.0,3.0,6.0,2.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,3.0,3.0,5.0,0.0,1.0,1.0,6.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,6.0,7.0,6.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,0.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0,4.0,3.0,0.0
7,618,2013-08-25,Parma,Chievo,D,1.85,3.5,4.2,1.83,3.4,4.5,1.9,3.45,3.8,1.9,3.4,4.0,1.85,3.4,4.4,1.9,3.5,4.6,1,1,62.0,66.0,36.0,62.0,6.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,4.0,6.0,1.0,3.0,1.0,0.0,4.0,6.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,3.0,6.0,2.0,1.0,3.0,0.0,4.0,2.0,5.0,5.0,4.0,0.0,1.0,0.0,1.0,7.0,4.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,5.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,6.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,4.0,3.0,0.0,3.0
8,619,2013-08-25,Torino,Sassuolo,H,2.0,3.3,3.8,1.95,3.3,4.0,2.0,3.3,3.6,1.9,3.4,4.0,2.05,3.25,3.8,2.05,3.4,4.0,3,0,25.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,620,2013-08-26,Fiorentina,Catania,H,1.44,4.2,7.5,1.45,4.2,7.25,1.45,4.0,7.0,1.53,4.0,6.0,1.5,4.2,6.5,1.5,4.5,7.0,3,0,107.0,102.0,59.0,32.0,7.0,0.0,9.0,2.0,4.0,3.0,4.0,3.0,3.0,0.0,6.0,2.0,6.0,4.0,9.0,9.0,0.0,4.0,0.0,9.0,3.0,1.0,3.0,4.0,6.0,3.0,3.0,3.0,0.0,4.0,0.0,1.0,3.0,4.0,2.0,3.0,0.0,6.0,2.0,3.0,5.0,4.0,2.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,0.0,9.0,3.0,4.0,0.0,5.0,6.0,3.0,4.0,4.0,1.0,4.0,4.0,0.0,9.0,0.0,7.0,0.0,4.0,9.0,4.0,3.0,1.0,6.0,3.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0
